bravado,-0.14
brazen,-0.17
brazenly,-0.12
brazenness,-0.1
breach,-0.17
break,-0.2
break-up,-0.12
break-ups,-0.11
breakdown,-0.11
breaking,-0.12
breaks,-0.17
breakup,-0.14
breakups,-0.12
bribery,-0.14
brimstone,-0.11
bristle,-0.14
brittle,-0.14
broke,-0.2
broken,-0.17
broken-hearted,-0.07
brood,-0.2
browbeat,-0.12
bruise,-0.17
bruised,-0.14
bruises,-0.14
bruising,-0.12
brusque,-0.14
brutal,-0.17
brutalising,-0.09
brutalities,-0.09
brutality,-0.11
brutalize,-0.11
brutalizing,-0.09
brutally,-0.12
brute,-0.2
brutish,-0.14
bs,0.0
buckle,-0.17
bug,-0.33
bugging,-0.14
buggy,-0.2
bugs,-0.25
bulkier,-0.14
bulkiness,-0.11
bulky,-0.2
bulkyness,-0.11
bull****,0.0
bull----,0.0
bullies,-0.14
bullshit,-0.12
bullshyt,-0.12
bully,-0.2
bullying,-0.12
bullyingly,-0.1
bum,-0.33
bump,-0.25
bumped,-0.17
bumping,-0.14
bumpping,-0.12
bumps,-0.2
bumpy,-0.2
bungle,-0.17
bungler,-0.14
bungling,-0.12
bunk,-0.25
burden,-0.17
burdensome,-0.1
burdensomely,-0.08
burn,-0.25
burned,-0.17
burning,-0.14
burns,-0.2
bust,-0.25
busts,-0.2
busybody,-0.12
butcher,-0.14
butchery,-0.12
buzzing,-0.14
byzantine,-0.11
cackle,-0.17
calamities,-0.1
calamitous,-0.1
calamitously,-0.08
calamity,-0.12
callous,-0.14
calumniate,-0.1
calumniation,-0.08
calumnies,-0.11
calumnious,-0.1
calumniously,-0.08
calumny,-0.14
cancer,-0.17
cancerous,-0.11
cannibal,-0.12
cannibalize,-0.09
capitulate,-0.1
capricious,-0.1
capriciously,-0.08
capriciousness,-0.07
capsize,-0.14
careless,-0.12
carelessness,-0.08
caricature,-0.1
carnage,-0.14
carp,-0.25
cartoonish,-0.1
cash-strapped,0.0
castigate,-0.11
castrated,-0.11
casualty,-0.12
cataclysm,-0.11
cataclysmal,-0.09
cataclysmic,-0.09
cataclysmically,-0.07
catastrophe,-0.09
catastrophes,-0.08
catastrophic,-0.08
catastrophically,-0.06
catastrophies,-0.08
caustic,-0.14
caustically,-0.09
cautionary,-0.1
cave,-0.25
censure,-0.14
chafe,-0.2
chaff,-0.2
chagrin,-0.14
challenging,-0.09
chaos,-0.2
chaotic,-0.14
chasten,-0.14
chastise,-0.12
chastisement,-0.08
chatter,-0.14
chatterbox,-0.1
cheap,-0.2
cheapen,-0.14
cheaply,-0.14
cheat,-0.2
cheated,-0.14
cheater,-0.14
cheating,-0.12
cheats,-0.17
checkered,-0.11
cheerless,-0.11
cheesy,-0.17
chide,-0.2
childish,-0.12
chill,-0.2
chilly,-0.17
chintzy,-0.14
choke,-0.2
choleric,-0.12
choppy,-0.17
chore,-0.2
chronic,-0.14
chunky,-0.17
clamor,-0.17
clamorous,-0.11
clash,-0.2
cliche,-0.17
cliched,-0.14
clique,-0.17
clog,-0.25
clogged,-0.14
clogs,-0.2
cloud,-0.2
clouding,-0.12
cloudy,-0.17
clueless,-0.12
clumsy,-0.17
clunky,-0.17
coarse,-0.17
cocky,-0.2
coerce,-0.17
coercion,-0.12
coercive,-0.12
cold,-0.25
coldly,-0.17
collapse,-0.12
collude,-0.14
collusion,-0.11
combative,-0.11
combust,-0.14
comical,-0.14
commiserate,-0.09
commonplace,-0.09
commotion,-0.11
commotions,-0.1
complacent,-0.1
complain,-0.12
complained,-0.1
complaining,-0.09
complains,-0.11
complaint,-0.11
complaints,-0.1
complex,-0.14
complicated,-0.09
complication,-0.08
complicit,-0.11
compulsion,-0.1
compulsive,-0.1
concede,-0.14
conceded,-0.12
conceit,-0.14
conceited,-0.11
concen,-0.17
concens,-0.14
concern,-0.14
concerned,-0.11
concerns,-0.12
concession,-0.1
concessions,-0.09
condemn,-0.14
condemnable,-0.09
condemnation,-0.08
condemned,-0.11
condemns,-0.12
condescend,-0.1
condescending,-0.08
condescendingly,-0.07
condescension,-0.08
confess,-0.14
confession,-0.1
confessions,-0.09
confined,-0.12
conflict,-0.12
conflicted,-0.1
conflicting,-0.09
conflicts,-0.11
confound,-0.12
confounded,-0.1
confounding,-0.09
confront,-0.12
confrontation,-0.08
confrontational,-0.07
confuse,-0.14
confused,-0.12
confuses,-0.12
confusing,-0.11
confusion,-0.11
confusions,-0.1
congested,-0.11
congestion,-0.1
cons,0.0
conscons,-0.12
conservative,-0.08
conspicuous,-0.09
conspicuously,-0.08
conspiracies,-0.08
conspiracy,-0.1
conspirator,-0.09
conspiratorial,-0.07
conspire,-0.12
consternation,-0.08
contagious,-0.1
contaminate,-0.09
contaminated,-0.08
contaminates,-0.08
contaminating,-0.08
contamination,-0.08
contempt,-0.12
contemptible,-0.08
contemptuous,-0.08
contemptuously,-0.07
contend,-0.14
contention,-0.1
contentious,-0.09
contort,-0.14
contortions,0.0
contradict,-0.1
contradiction,-0.08
contradictory,-0.08
contrariness,-0.08
contravene,-0.1
contrive,-0.12
contrived,-0.11
controversial,-0.08
controversy,-0.09
convoluted,-0.1
corrode,-0.14
corrosion,-0.11
corrosions,-0.1
corrosive,-0.11
corrupt,-0.14
corrupted,-0.11
corrupting,-0.1
corruption,-0.1
corrupts,-0.12
corruptted,-0.1
costlier,-0.12
costly,-0.17
counter-productive,0.06
counterproductive,-0.06
coupists,-0.12
covetous,-0.12
coward,-0.17
cowardly,-0.12
crabby,-0.17
crack,-0.2
cracked,-0.14
cracks,-0.17
craftily,-0.12
craftly,-0.14
crafty,-0.17
cramp,-0.2
cramped,-0.14
cramping,-0.12
cranky,-0.17
crap,-0.25
crappy,-0.17
craps,-0.2
crash,-0.2
crashed,-0.14
crashes,-0.14
crashing,-0.12
crass,-0.2
craven,-0.17
cravenly,-0.12
craze,-0.2
crazily,-0.14
craziness,-0.11
crazy,-0.2
creak,-0.2
creaking,-0.12
creaks,-0.17
credulous,-0.11
creep,-0.2
creeping,-0.12
creeps,-0.17
creepy,-0.17
crept,-0.2
crime,-0.2
criminal,-0.12
cringe,-0.17
cringed,-0.14
cringes,-0.14
cripple,-0.14
crippled,-0.12
cripples,-0.12
crippling,-0.11
crisis,-0.17
critic,-0.17
critical,-0.12
criticism,-0.11
criticisms,-0.1
criticize,-0.11
criticized,-0.1
criticizing,-0.09
critics,-0.14
cronyism,-0.12
crook,-0.2
crooked,-0.14
crooks,-0.17
crowded,-0.14
crowdedness,-0.09
crude,-0.2
cruel,-0.2
crueler,-0.14
cruelest,-0.12
cruelly,-0.14
cruelness,-0.11
cruelties,-0.11
cruelty,-0.14
crumble,-0.14
crumbling,-0.11
crummy,-0.17
crumple,-0.14
crumpled,-0.12
crumples,-0.12
crush,-0.2
crushed,-0.14
crushing,-0.12
cry,-0.33
culpable,-0.12
culprit,-0.14
cumbersome,-0.1
cunt,-0.25
cunts,-0.2
cuplrit,-0.14
curse,-0.2
cursed,-0.17
curses,-0.17
curt,-0.25
cuss,-0.25
cussed,-0.17
cutthroat,-0.11
cynical,-0.14
cynicism,-0.12
d*mn,0.0
damage,-0.17
damaged,-0.14
damages,-0.14
damaging,-0.12
damn,-0.25
damnable,-0.12
damnably,-0.12
damnation,-0.11
damned,-0.17
damning,-0.14
damper,-0.17
danger,-0.17
dangerous,-0.11
dangerousness,-0.08
dark,-0.25
darken,-0.17
darkened,-0.12
darker,-0.17
darkness,-0.12
dastard,-0.14
dastardly,-0.11
daunt,-0.2
daunting,-0.12
dauntingly,-0.1
dawdle,-0.17
daze,-0.25
dazed,-0.2
dead,-0.25
deadbeat,-0.12
deadlock,-0.12
deadly,-0.17
deadweight,-0.1
deaf,-0.25
dearth,-0.17
death,-0.2
debacle,-0.14
debase,-0.17
debasement,-0.1
debaser,-0.14
debatable,-0.11
debauch,-0.14
debaucher,-0.11
debauchery,-0.1
debilitate,-0.1
debilitating,-0.08
debility,-0.12
debt,-0.25
debts,-0.2
decadence,-0.11
decadent,-0.12
decay,-0.2
decayed,-0.14
deceit,-0.17
deceitful,-0.11
deceitfully,-0.09
deceitfulness,-0.08
deceive,-0.14
deceiver,-0.12
deceivers,-0.11
deceiving,-0.11
deception,-0.11
deceptive,-0.11
deceptively,-0.09
declaim,-0.14
decline,-0.14
declines,-0.12
declining,-0.11
decrement,-0.11
decrepit,-0.12
decrepitude,-0.09
decry,-0.2
defamation,-0.1
defamations,-0.09
defamatory,-0.1
defame,-0.17
defect,-0.17
defective,-0.11
defects,-0.14
defensive,-0.11
defiance,-0.12
defiant,-0.14
defiantly,-0.11
deficiencies,-0.08
deficiency,-0.1
deficient,-0.11
defile,-0.17
defiler,-0.14
deform,-0.17
deformed,-0.12
defrauding,-0.1
defunct,-0.14
